# Results from Tracker
# Time [s]	Position [cm]
1.230000000000000071e+01	-1.137461413608113503e+02
1.231666666666666821e+01	-1.134276608573991041e+02
1.233333333333333393e+01	-1.132610786928711235e+02
1.235000000000000142e+01	-1.130561143290385644e+02
1.236666666666666714e+01	-1.125536258458329115e+02
1.238333333333333464e+01	-1.120623521385719386e+02
1.240000000000000036e+01	-1.120647683288351999e+02
1.241666666666666785e+01	-1.113296473171672432e+02
1.243333333333333357e+01	-1.108383403218992669e+02
1.245000000000000107e+01	-1.100348329635071423e+02
1.246666666666666679e+01	-1.103747726882297826e+02
1.248333333333333428e+01	-1.100242748047810863e+02
1.250000000000000000e+01	-1.098405327053924907e+02
1.251666666666666750e+01	-1.091540745233713068e+02
1.253333333333333499e+01	-1.090700529422513654e+02
1.255000000000000071e+01	-1.085330895680987027e+02
1.256666666666666821e+01	-1.080143179750927374e+02
1.258333333333333393e+01	-1.079082335235802503e+02
1.260000000000000142e+01	-1.074026320162122232e+02
1.261666666666666714e+01	-1.071335966651999030e+02
1.263333333333333464e+01	-1.065681225679024067e+02
1.265000000000000036e+01	-1.063582354337429763e+02
1.266666666666666785e+01	-1.062983188463880424e+02
1.268333333333333357e+01	-1.060733990771375943e+02
1.270000000000000107e+01	-1.051113295952622906e+02
1.271666666666666679e+01	-1.048917560536869331e+02
1.273333333333333428e+01	-1.046841941806003575e+02
1.275000000000000000e+01	-1.044157792896420744e+02
1.276666666666666750e+01	-1.033024168090422279e+02
1.278333333333333499e+01	-1.036952773506894658e+02
1.280000000000000071e+01	-1.029014010475831782e+02
1.281666666666666821e+01	-1.029396562566915776e+02
1.283333333333333393e+01	-1.022262821180358969e+02
1.285000000000000142e+01	-1.020289080295239756e+02
1.286666666666666714e+01	-1.015851022957254486e+02
1.288333333333333464e+01	-1.017066147009158925e+02
1.290000000000000036e+01	-1.009821509606964298e+02
1.291666666666666785e+01	-1.007933344017158248e+02
1.293333333333333357e+01	-1.001491729707057203e+02
1.295000000000000107e+01	-1.000450611383968038e+02
1.296666666666666679e+01	-9.962175305884967713e+01
1.298333333333333428e+01	-9.895494838335048371e+01
1.300000000000000000e+01	-9.889835083176512853e+01
1.301666666666666750e+01	-9.848145889446099943e+01
1.303333333333333499e+01	-9.822928291428596026e+01
1.305000000000000071e+01	-9.764718863725924791e+01
1.306666666666666821e+01	-9.723728051702782693e+01
1.308333333333333393e+01	-9.712037783323562223e+01
1.310000000000000142e+01	-9.664816958338417408e+01
1.311666666666666714e+01	-9.645019825313721640e+01
1.313333333333333464e+01	-9.577086261998492489e+01
1.315000000000000036e+01	-9.505190114382438082e+01
1.316666666666666785e+01	-9.516465005420675993e+01
1.318333333333333357e+01	-9.500058520661833938e+01
1.320000000000000107e+01	-9.420461941423828023e+01
1.321666666666666679e+01	-9.441012715071066452e+01
1.323333333333333428e+01	-9.360964232720556311e+01
1.325000000000000000e+01	-9.345707435971495158e+01
1.326666666666666750e+01	-9.280509714156488599e+01
1.328333333333333499e+01	-9.290392619211895919e+01
1.330000000000000071e+01	-9.257122606061581394e+01
1.331666666666666821e+01	-9.217475959268350039e+01
1.333333333333333393e+01	-9.172037533881714921e+01
1.335000000000000142e+01	-9.118667981495009656e+01
1.336666666666666714e+01	-9.112465942738963065e+01
1.338333333333333464e+01	-9.072416683680030758e+01
1.340000000000000036e+01	-9.007310626564537870e+01
1.341666666666666785e+01	-8.987685795950343959e+01
1.343333333333333357e+01	-8.952701187586950482e+01
1.345000000000000107e+01	-8.906110306218469930e+01
1.346666666666666856e+01	-8.874398885241555490e+01
1.348333333333333428e+01	-8.830072582489127342e+01
1.350000000000000000e+01	-8.777434069199595967e+01
1.351666666666666750e+01	-8.766627269990804905e+01
1.353333333333333499e+01	-8.692150267535936337e+01
1.355000000000000071e+01	-8.712520720684152309e+01
1.356666666666666821e+01	-8.618895849814975918e+01
1.358333333333333393e+01	-8.605509777761947987e+01
1.360000000000000142e+01	-8.579685900584570390e+01
1.361666666666666714e+01	-8.568644621324398258e+01
1.363333333333333464e+01	-8.495049523728835084e+01
1.365000000000000036e+01	-8.437026626315476108e+01
1.366666666666666785e+01	-8.443335042543529312e+01
1.368333333333333357e+01	-8.390423972117693552e+01
1.370000000000000107e+01	-8.373930392977163706e+01
